"bulan","ritasi","max"
"2011-01-01",19602,46.0
"2011-02-01",22891,45.0
"2011-03-01",20263,37.0
"2011-04-01",19346,62.0
"2011-05-01",20955,77.0
"2011-06-01",20352,78.0
"2011-07-01",21512,76.0
"2011-08-01",20967,87.0
"2011-09-01",18998,92.0
"2011-10-01",21056,88.0
"2011-11-01",20597,94.0
"2011-12-01",19061,75.0
"2012-01-01",23659,58.0
"2012-02-01",24218,88.0
"2012-03-01",20660,67.0
"2012-04-01",20942,101.0
"2012-05-01",22149,102.0
"2012-06-01",22764,94.0
"2012-07-01",23873,101.0
"2012-08-01",21993,85.0
"2012-09-01",24136,110.0
"2012-10-01",24036,137.0
"2012-11-01",23196,127.0
"2012-12-01",20083,87.0
"2013-01-01",28966,66.0
"2013-03-01",30395,88.0
"2013-04-01",29166,93.0
"2013-05-01",30217,75.0
"2013-06-01",29049,73.0
"2013-07-01",26767,67.0
"2013-08-01",28856,69.0
"2013-09-01",28170,72.0
"2013-10-01",30256,81.0
"2013-11-01",29096,86.0
"2013-12-01",27112,83.0
"2013-12-01",32523,70.0
"2014-01-01",22964,49.0
"2014-03-01",26022,58.0
"2014-04-01",23194,81.0
"2014-05-01",24458,74.0
"2014-06-01",23452,84.0
"2014-07-01",23267,76.0
"2014-08-01",24653,63.0
"2014-09-01",26627,65.0
"2014-10-01",30175,70.0
"2014-11-01",28085,63.0
"2014-12-01",22459,66.0
"2014-12-01",29505,37.0
"2015-01-01",28966,34.0
"2015-03-01",30365,50.0
"2015-04-01",29166,57.0
"2015-05-01",30217,57.0
"2015-06-01",29049,62.0
"2015-07-01",26767,72.0
"2015-08-01",28856,60.0
"2015-09-01",28170,63.0
"2015-10-01",30256,65.0
"2015-11-01",29096,66.0
"2015-12-01",27112,69.0
"2015-12-01",32523,50.0
"2017-01-01",18411,37.0
"2017-02-01",32749,47.0
"2017-03-01",38408,61.0
"2017-04-01",38408,66.0
"2017-05-01",36272,78.0
"2017-06-01",33989,63.0
"2017-07-01",37753,81.0
"2017-08-01",35166,82.0
"2017-09-01",36272,82.0
"2017-10-01",34772,73.0
"2017-11-01",22458,69.0
"2017-12-01",1327,38.0
"2018-01-01",38765,40.0
"2018-02-01",35163,50.0
"2018-03-01",38765,74.0
"2018-04-01",38653,66.0
"2018-05-01",40563,82.0
"2018-06-01",35396,81.0
"2018-07-01",40554,100.0
"2018-08-01",40554,91.0
"2018-09-01",38765,90.0
"2018-10-01",40850,86.0
"2018-11-01",12975,84.0
"2019-01-01",33931,59.0
"2019-02-01",31085,62.0
"2019-03-01",41636,66.0
"2019-04-01",34310,80.0
"2019-05-01",41625,70.0
"2019-06-01",36493,82.0
"2019-07-01",42046,80.0
"2019-08-01",33548,88.0
"2019-09-01",40004,89.0
"2019-10-01",35636,97.0
"2019-11-01",29992,97.0
"2019-12-01",42459,77.0
